name,icao,region,elev_ft,rwy_m,rwy_desc,surface,fuel,lat,lon,remarks,source
Sacramento International Airport,KSMF,US,27.0,2623.0,17L/35R,CON,,38.6954,-121.591003,,AIP
Kahului International Airport,PHOG,US,54.0,2133.0,02/20,ASP,,20.896263,-156.431837,,AIP
Malta International Airport,LMML,MT,300.0,3350.0,13/31,ASP,,35.845932,14.491546,,AIP
OKC Will Rogers World Airport,KOKC,US,1295.0,2988.0,17L/35R,CON,,35.393388,-97.598248,,AIP
Denpasar I Gusti Ngurah Rai International Airport,WADD,ID,14.0,2984.0,09/27,ASP,,-8.748409,115.167123,,AIP
Jorge Chávez International Airport,SPIM,PE,113.0,3507.0,16L/34R,CON,,-12.0219,-77.114305,,AIP
Milano Linate Airport,LIML,IT,353.0,2442.0,17/35,ASP,,45.445099,9.27674,,AIP
Brisbane International Airport,YBBN,AU,13.0,3560.0,01R/19L,ASP,,-27.384199142456055,153.11700439453125,,AIP
Birmingham Airport,EGBB,GB,327.0,3052.0,15/33,ASP,,52.453899,-1.74803,,AIP
Chhatrapati Shivaji Maharaj International Airport,VABB,IN,39.0,3509.0,09/27,ASP,,19.088699,72.867897,,AIP
Hollywood Burbank/Bob Hope Airport,KBUR,US,778.0,2099.0,15/33,ASP,,34.202834,-118.35805,,AIP
Ninoy Aquino International Airport,RPLL,PH,75.0,3737.0,06/24,CON,,14.5086,121.019997,,AIP
Charleston International Airport,KCHS,US,46.0,2744.0,15/33,CON,,32.896159,-80.038151,,AIP
Palm Beach International Airport,KPBI,US,19.0,3048.0,10L/28R,ASPH-G,,26.683201,-80.095596,,AIP
Gran Canaria Airport,GCLP,ES,78.0,3100.0,03L/21R,ASP,,27.9319,-15.3866,,AIP
Rio Galeão – Tom Jobim International Airport,SBGL,BR,28.0,4000.0,10/28,CON,,-22.809999,-43.250557,,AIP
Francisco de Sá Carneiro Airport,LPPR,PT,228.0,3480.0,17/35,ASP,,41.2481002808,-8.68138980865,,AIP
Eppley Airfield,KOMA,US,984.0,2896.0,14R/32L,PEM,,41.3032,-95.894096,,AIP
Louisville Muhammad Ali International Airport,KSDF,US,501.0,3623.0,17R/35L,CON,,38.1706,-85.735076,,AIP
London City Airport,EGLC,GB,19.0,1508.0,09/27,CON,,51.505299,0.055278,,AIP
Il Caravaggio International Airport,LIME,IT,782.0,2874.0,10/28,ASP,,45.669362,9.708851,,AIP
Rhode Island T. F. Green International Airport,KPVD,US,55.0,2652.0,05/23,ASP,,41.725038,-71.425668,,AIP
Reno Tahoe International Airport,KRNO,US,4415.0,3353.0,17R/35L,CON,,39.4991,-119.767998,,AIP
Riga International Airport,EVRA,LV,36.0,3200.0,18/36,ASP,,56.920752,23.970711,,AIP
Cape Town International Airport,FACT,ZA,151.0,3201.0,01/19,ASP,,-33.97403,18.604333,,AIP
Comodoro Arturo Merino Benítez International Airport,SCEL,CL,1555.0,3750.0,17L/35R,ASP,,-33.393001556396484,-70.78579711914062,,AIP
Billy Bishop Toronto City Airport,CYTZ,CA,252.0,1216.0,08/26,ASP,,43.627852,-79.39553,,AIP
Stuttgart Airport,EDDS,DE,1276.0,3345.0,07/25,CON,,48.689899,9.22196,,AIP
Norfolk International Airport,KORF,US,26.0,2744.0,05/23,ASP,,36.895341,-76.201,,AIP
El Paso International Airport,KELP,US,3959.0,3664.0,04/22,ASP,,31.809908,-106.375607,,AIP
Long Beach International Airport,KLGB,US,60.0,3048.0,12/30,ASP,,33.816523,-118.149891,,AIP
Bucharest Henri Coandă International Airport,LROP,RO,314.0,3500.0,08L/26R,ASP,,44.571792,26.103285,,AIP
Edmonton International Airport,CYEG,CA,2373.0,3353.0,02/20,ASP,,53.3097,-113.580002,,AIP
"Bergen Airport, Flesland",ENBR,NO,170.0,2990.0,17/35,ASP,,60.2934,5.21814,,AIP
Savannah Hilton Head International Airport,KSAV,US,50.0,2850.0,10/28,CONC-G,,32.126591,-81.19998,,AIP
Southwest Florida International Airport,KRSW,US,30.0,3658.0,06/24,ASP,,26.534685,-81.752816,,AIP
Richmond International Airport,KRIC,US,167.0,2744.0,16/34,ASP,,37.505199,-77.319702,,AIP
Kraków John Paul II International Airport,EPKK,PL,791.0,2550.0,07/25,CON,,50.077702,19.7848,,AIP
Tocumen International Airport,MPTO,PA,135.0,3050.0,03R/21L,CON,,9.07136,-79.383499,,AIP
Ellison Onizuka Kona International Airport at Keāhole,PHKO,US,47.0,3353.0,17/35,ASP,,19.738783,-156.045603,,AIP
Kansai International Airport,RJBB,JP,26.0,4000.0,06L/24R,ASP,,34.427299,135.244003,,AIP
Phuket International Airport,VTSP,TH,82.0,3100.0,09/27,ASP,,8.113257,98.3174,,AIP
İstanbul Airport,LTFM,TR,325.0,4100.0,17L/35R,ASP,,41.274874,28.732136,,AIP
Ontario International Airport,KONT,US,944.0,3718.0,08L/26R,CON,,34.056,-117.600998,,AIP
Halifax / Stanfield International Airport,CYHZ,CA,477.0,3200.0,05/23,ASP,,44.8807983398,-63.5085983276,,AIP
Heraklion International Nikos Kazantzakis Airport,LGIR,GR,115.0,2714.0,09/27,ASP,,35.339699,25.1803,,AIP
Birmingham-Shuttlesworth International Airport,KBHM,US,650.0,3660.0,06/24,ASP,,33.562877,-86.750712,,AIP
Winnipeg / James Armstrong Richardson International Airport,CYWG,CA,783.0,3353.0,18/36,ASP,,49.909999847399995,-97.2398986816,,AIP
Tenerife Sur Airport,GCTS,ES,209.0,3200.0,07/25,ASP,,28.0445,-16.5725,,AIP
Albany International Airport,KALB,US,285.0,2591.0,01/19,ASP,,42.748299,-73.801697,,AIP
Alicante-Elche Miguel Hernández Airport,LEAL,ES,142.0,3000.0,10/28,ASP,,38.2822,-0.558156,,AIP
